date,open,close
2022-11-03,263.01,260.49
2022-11-04,265.53,264.68
2022-11-07,265.75,267.59
2022-11-08,269.14,269.54
2022-11-09,267.76,263.32
2022-11-10,276.01,282.75
2022-11-11,282.56,287.96
2022-11-14,285.86,285.44
2022-11-15,292.21,289.39
2022-11-16,287.39,285.44
2022-11-17,280.88,284.81
2022-11-18,287.89,284.82
2022-11-21,283.4,281.89
2022-11-22,282.64,285.95
2022-11-23,285.97,288.82
2022-11-25,287.19,286.92
2022-11-28,284.9,282.71
2022-11-29,282.94,280.57
2022-11-30,280.84,293.36
2022-12-01,293.69,293.72
2022-12-02,288.54,292.55
2022-12-05,290.38,287.64
2022-12-06,287.48,281.68
2022-12-07,280.47,280.53
2022-12-08,281.91,283.85
2022-12-09,282.81,282.04
2022-12-12,282.22,285.58
2022-12-13,296.65,288.65
2022-12-14,288.05,286.51
2022-12-15,282.33,276.89
2022-12-16,276.2,274.25
2022-12-19,273.87,269.75
2022-12-20,268.56,269.54
2022-12-21,270.6,273.45
2022-12-22,270.38,266.76
2022-12-23,265.47,267.36
2022-12-27,266.74,263.58
2022-12-28,263.17,260.1
2022-12-29,262.96,266.44
2022-12-30,263.62,266.28
2023-01-03,268.65,264.48
2023-01-04,266.64,265.74
2023-01-05,264.04,261.58
2023-01-06,263.35,268.8
2023-01-09,270.83,270.54
2023-01-10,269.49,272.83
2023-01-11,273.92,277.55
2023-01-12,278.12,279.05
2023-01-13,276.5,280.97
2023-01-17,280.77,281.54
2023-01-18,283.11,277.88
2023-01-19,276.22,275.15
2023-01-20,276.79,282.68
2023-01-23,283.54,288.96
2023-01-24,287.31,288.37
2023-01-25,283.77,287.73
2023-01-26,291.22,293.34
2023-01-27,292.0,296.26
2023-01-30,292.93,290.27
2023-01-31,290.31,294.62
2023-02-01,294.41,300.92
2023-02-02,307.57,311.72
2023-02-03,304.94,306.18
2023-02-06,303.51,303.59
2023-02-07,303.46,309.88
2023-02-08,308.54,304.37
2023-02-09,308.84,301.68
2023-02-10,299.48,299.7
2023-02-13,301.13,304.5
2023-02-14,302.89,306.75
2023-02-15,304.9,309.1
2023-02-16,304.38,303.3
2023-02-17,301.07,301.16
2023-02-21,297.26,294.03
2023-02-22,294.62,294.25
2023-02-23,297.97,296.82
2023-02-24,291.76,291.85
2023-02-27,295.07,293.94
2023-02-28,293.3,293.56
2023-03-01,293.26,291.2
2023-03-02,288.66,293.61
